Lyric,Artist,Title
woahoh hmhmm you've been runnin' 'round runnin' 'round runnin' 'round throwin' that dirt all on my name 'cause you knew that i knew that i knew that i'd call you up you've been going 'round going 'round going 'round every party in la 'cause you knew that i knew that i knew that i'd be at one oh pre i know that dress is karma perfume regret you got me thinking 'bout when you were mine ooh and now i'm all up on ya what you expect but you're not coming home with me tonight you just want attention you don't want my heart maybe you just hate the thought of me with someone new yeah you just want attention i knew from the start you're just making sure i'm never gettin' over you oh you've been runnin' 'round runnin' 'round runnin' 'round throwin' that dirt all on my name 'cause you knew that i knew that i knew that i'd call you up baby now that we're now that we're now that we're right here standin' face to face you already know 'ready know 'ready know that you won oh pre i know that dress is karma dress is karma perfume regret yeah you got me thinking 'bout when you were mine ooh you got me thinking 'bout when you were mine and now i'm all up on ya all up on ya what you expect oh baby but you're not coming home with me tonight oh no you just want attention you don't want my heart maybe you just hate the thought of me with someone new one new yeah you just want attention oh i knew from the start the start you're just making sure i'm never gettin' over you over you oh what are you doin' to me what are you doin' huh what are you doin' what are you doin' to me what are you doin' huh what are you doin' what are you doin' to me what are you doin' huh what are you doin' what are you doin' to me what are you doin' huh pre i know that dress is karma perfume regret you got me thinking 'bout when you were mine and now i'm all up on ya what you expect but you're not coming home with me tonight you just want attention you don't want my heart maybe you just hate the thought of me with someone new yeah you just want attention i knew from the start you're just making sure i'm never gettin' over you over you what are you doin' to me hey what are you doin' huh what are you doin' love what are you doin' to me what are you doin' huh yeah you just want attention what are you doin' to me i knew from the start what are you doin' huh you're just making sure i'm never gettin' over you what are you doin' to me what are you doin' huh,Charlie Puth,Attention
charlie puth we don't talk anymore we don't talk anymore we don't talk anymore like we used to do we don't love anymore what was all of it for oh we don't talk anymore like we used to do charlie puth i just heard you found the one you've been looking you've been looking for i wish i would have known that wasn't me 'cause even after all this time i still wonder why i can't move on just the way you did so easily pre charlie puth don't wanna know what kind of dress you're wearing tonight if he's holdin' onto you so tight the way i did before i overdosed should've known your love was a game now i can't get you out of my brain oh it's such a shame charlie puth that we don't talk anymore we don't talk anymore we don't talk anymore like we used to do we don't love anymore what was all of it for oh we don't talk anymore like we used to do selena gomez i just hope you're lying next to somebody who knows how to love you like me there must be a good reason that you're gone every now and then i think you might want me to come show up at your door but i'm just too afraid that i'll be wrong pre selena gomez don't wanna know if you're lookin' into her eyes if she's holdin' onto you so tight the way i did before i overdosed should've known your love was a game now i can't get you out of my brain oh it's such a shame charlie puth selena gomez that we don't talk anymore we don't talk anymore we don't talk anymore like we used to do we don't love anymore what was all of it for oh we don't talk anymore like we used to do like we used to do pre charlie puth selena gomez don't wanna know what kind of dress you're wearing tonight if he's giving it to you just right the way i did before i overdosed should've known your love was a game now i can't get you out of my brain oh it's such a shame charlie puth selena gomez that we don't talk anymore we don't talk anymore we don't talk anymore like we used to do we don't love anymore what was all of it for oh we don't talk anymore like we used to do charlie puth selena gomez both we don't talk anymore oh oh don't wanna know what kind of dress you're wearing tonight if he's holding onto you so tight the way i did before we don't talk anymore oh whoa should've known your love was a game now i can't get you out of my brain oh it's such a shame that we don't talk anymore,Charlie Puth,We Don’t Talk Anymore
alright ooh yeah i'll admit i was wrong what else can i say girl can't you blame my head and not my heart i was drunk i was gone that don't make it right but promise there were no feelings involved mmh pre she said boy tell me honestly was it real or just for show yeah she said save your apologies baby i just gotta know how long has this been goin' on you've been creepin' 'round on me while you're callin' me baby how long has this been goin' on you've been actin' so shady shady i've been feelin' it lately baby post ooooh yeah ooooh encore ooohoohoh i'll admit it's my fault but you gotta believe me when i say it only happened once mmm i try and i try but you'll never see that you're the only one i wanna love oh yeah pre she said boy tell me honestly was it real or just for show yeah she said save your apologies baby i just gotta know how long has this been goin' on you've been creepin' 'round on me while you're callin' me baby how long has this been goin' on you've been actin' so shady i've been feelin' it lately baby post ooooh yeah ooooh encore ooohoohoh how long has it been goin' on baby ooooh yeah ooooh you gotta go tell me now ooohoohoh pre she said boy tell me honestly was it real or just for show yeah she said save your apologies baby i just gotta know how long has this been goin' on and you' been creepin' 'round on me while you're callin' me baby how long has this been goin' on you've been actin' so shady i've been feelin' it lately baby post ooooh yeah how long has this been goin' on ooh encore you've been creepin' 'round on me ooohoohoh how long has it been goin' on baby oh ooooh how long has this been goin' on ooh encore you gotta go tell me now ooohoohoh you've been actin' so shady i've been feelin' it lately baby,Charlie Puth,How Long
charlie puth let's marvin gaye and get it on you got the healing that i want just like they say it in the song until the dawn let's marvin gaye and get it on charlie puth we got this kingsize to ourselves don't have to share with no one else don't keep your secrets to yourself it's kama sutra show and tell yeah pre charlie puth whoaohohoh there's lovin' in your eyes that pulls me closer oh it pulls me closer it's so subtle it's so subtle i'm in trouble i'm in trouble but i'd love to be in trouble with you charlie puth with meghan trainor let's marvin gaye and get it on you got the healin' that i want just like they say it in the song until the dawn let's marvin gaye and get it on you've got to give it up to me i'm screaming mercy mercy please just like they say it in the song until the dawn let's marvin gaye and get it on meghan trainor and when you leave me all alone i'm like a stray without a home i'm like a dog without a bone i just want you for my own i got to have you babe pre charlie puth meghan trainor whoaohohoh there's lovin' in your eyes that pulls me closer oh it pulls me closer it's so subtle it's so subtle i'm in trouble i'm in trouble but i'd rather be in trouble with you charlie puth with meghan trainor let's marvin gaye and get it on ooh baby got that healing that you want yes like they say it in the songs until the dawn let's marvin gaye and get it on charlie puth meghan trainor let's marvin gaye and get it on you got the healin' that i want just like they say it in the song until the dawn let's marvin gaye and get it on babe you've got to give it up to me i'm screaming mercy mercy please just like they say it in the song until the dawn let's marvin gaye and get it on just like they say it in the song until the dawn let's marvin gaye and get it on ooh,Charlie Puth,Marvin Gaye
i'm only one call away i'll be there to save the day superman got nothing on me i'm only one call away call me baby if you need a friend i just wanna give you love c'mon c'mon c'mon reaching out to you so take a chance pre no matter where you go you know you're not alone i'm only one call away i'll be there to save the day superman got nothing on me i'm only one call away come along with me and don't be scared i just wanna set you free c'mon c'mon c'mon you and me can make it anywhere but for now we could stay here for a while hey 'cause you know i just wanna see you smile pre no matter where you go you know you're not alone i'm only one call away i'll be there to save the day superman got nothing on me i'm only one call away and when you're weak i'll be strong i'm gonna keep holding on now don't you worry it won't be long darling and when you feel like hope is gone just run into my arms i'm only one call away i'll be there to save the day superman got nothing on me i'm only one i'm only one call away i'll be there to save the day superman got nothing on me i'm only one call away i'm only one call away,Charlie Puth,One Call Away
charlie puth oh oh charlie puth yeah what you thinking you think that you could be better off with somebody new no oh oh baby no you say you're leaving well if you wanna leave there ain't nobody stopping you no oh oh baby no pre charlie puth i won't beg for your love won't say please i won't fall to the ground on my knees you know i've given this everything baby honestly baby honestly charlie puth i lie for you baby die for you baby cry for you baby but tell me what you've done for me for you baby and only you baby the things i do baby but tell me what you've done for me kehlani i never cheated deleted everyone 'cause they made you uncomfortable no oh oh baby no these accusations i can't apologize for something that i didn't do no oh oh baby no pre kehlani charlie puth i won't beg for your love won't say please oh no i won't say please i won't fall to the ground on my knees on my knees you know i've given this everything oh oh baby honestly baby honestly baby honestly whoa charlie puth i lie for you baby die for you baby cry for you baby but tell me what you've done for me for you baby and only you baby the things i do baby but tell me what you've done for me post charlie puth tell me what you've done for me oh tell me what you've done for me oh tell me what you've done for me oh tell me what you've done for me charlie puth kehlani oh you know i've given this everything baby honestly tell me what you've done for me charlie puth kehlani i lie for you baby die for you baby cry for you baby but tell me what you've done for me for you baby and only you baby oh the things i do baby but tell me but tell me what you've done for me charlie puth tell me what you've done for me oh tell me what you've done for me oh tell me what you've done for me oh tell me what you've done for me,Charlie Puth,Done for Me
yeah maybe i'ma get a little anxious maybe i'ma get a little shy 'cause everybody's tryna be famous and i'm just tryna find a place to hide oh all i wanna do is just hold somebody but no one ever wants to get to know somebody i don't even know how to explain this i don't even think i'm gonna try pre and that's okay i promise myself one day hey i'ma tell 'em all i'ma tell 'em all that you could either hate me or love me but that's just the way i am i'ma tell 'em all i'ma tell 'em all that you could either hate me or love me but that's just the way i am post that's just the way i am that's just the way i am that's just the way i am that's just the way i am maybe i'ma get a little nervous maybe i don't go out anymore oh feelin' like i really don't deserve this serve this life ain't nothing like it was before it was nothing like before 'cause all i wanna do is just hold somebody but no one ever wants to get to know somebody if you go and look under the surface surface baby i'm a little insecure pre and that's okay baby now that's okay i promise myself one day hey i'ma tell 'em all i'ma tell 'em all that you could either hate me or love me but that's just the way i am i'ma tell 'em all i'ma tell 'em all that you could either hate me or love me but that's just the way i am post that's just the way i am that's just the way i am that's just the way i am that's just the way i am refrain i'ma tell 'em all that's just the way i am i'ma tell 'em all that you could either hate me or love me that's just the way i am that's just the way i am but that's just the way i am am am yeah this is what you wanted oh this is what you wanted i am am am yeah this is what you wanted oh this is what you wanted all along breakdown everybody's tryna be famous and i'm just tryna find a place to hide i'ma tell 'em all i'ma tell 'em all that you could either hate me or love me but that's just the way i am i'ma tell 'em all i'ma tell 'em all that you could either hate me or love me but that's just the way i am post that's just the way i am that's just the way i am maybe i'ma get a little anxious maybe i'ma get a little scared that's just the way i am that's just the way i am 'cause everybody's tryna be famous refrain i'ma tell 'em all that's just the way i am i'ma tell 'em all that you could either hate me or love me that's just the way i am but that's just the way i am,Charlie Puth,The Way I Am
charlie puth no this is not goodbye i swear that i'm gonna change no baby please don't cry it doesn't have to end this way pre charlie puth 'cause when i think of all the nights i'll be alone i get terrified please don't say goodbye charlie puth 'cause girl if you leave me now if you're givin' up and just walk right out you will take the biggest part of me and all the things that i believe baby if you leave me now yeah wanya morris when did we lose our way my whole world was unravellin' and girl it's drivin' me insane there's no road worth travellin' pre charlie puth boyz ii men when i think about all of the nights you're gone nights you're gone oh i get terrified i get terrified please don't say goodbye bye wanya morris with charlie puth 'cause girl if you leave me now if you're givin' up and just walk right out oh you will take the biggest part of me and all the things that i believe baby if you leave me now oh baby if you leave me now charlie puth oh i can promise if we parted parted and if you left me brokenhearted every single night i'll think about you with someone else baby if you leave me charlie puth wanya morris baby if you leave me now leave me now oh if you're givin' up and just walk right out hey you will take the biggest part of me and all the things that i believe baby if you leave me now charlie puth wanya morris oh girl if you leave me now if you're givin' up and just walk right out oh baby you will take the biggest part of me and all the things that i believe baby if you leave me now oh baby if you leave me now,Charlie Puth,If You Leave Me Now
this is gonna hurt but i blame myself first 'cause i ignored the truth drunk off of that love my head up there's no forgetting you pre you've awoken me but you're choking me i was so obsessed gave you all of me and now honestly i got nothing left i loved you dangerously more than the air that i breathe knew we would crash at the speed that we were going didn't care if the explosion ruined me baby i loved you dangerously mmm mmm i loved you dangerously usually i hold the power with both my hands tied behind my back look at how things changed 'cause now you're the train and i m tied to the track pre you've awoken me but you're choking me i was so obsessed gave you all of me and now honestly i got nothing left 'cause i loved you dangerously more than the air that i breathe knew we would crash at the speed that we were going didn't care if the explosion ruined me baby i loved you dangerously you took me down down down down and kissed my lips with goodbye i see it now now now now it was a matter of time you know i know there's only one place this could lead but you are the fire i'm gasoline breakdown i love you i love you i love you i loved you dangerously ooh more than the air that i breathe oh now knew we would crash at the speed that we were going didn't care if the explosion ruined me oh oh baby i loved you dangerously mmm mmm ooh i loved you dangerously oohooh i loved you dangerously,Charlie Puth,Dangerously
alright gentleman i want you to repeat after me just how i do it ready rada da da dada dada da da your turn lada da da dada dada da da very good lada da dada da ah go ahead now lada da dada da dum good golly lada dada da da ah bring it around now lada da da dada dada da ah ladies lada da da dada dada da ah good golly la da da dada da ah la da da dada da ah lada da dada da ahhh yeah ladies and gentlemen i present to you mr charlie puth on keys aw yeah oh ohhhx ohhh bring the beat back oh oh oh oh oh ohhhx aw aww aw aww aw aww let you see my betty boop when the beat drops alright ladies and gentlemen that was very good we're going to do the whole thing one more time follow my steps 4 and dada da da dada dada da ah what'd i say dada da da dada dada da ah very good lada da dada da dum yes lada da dada da dum good golly lada da da dada dada da ah bring it around now rada da da dada dada da dum ladies lada da da dada dada da ah good golly lada da da dada dadax aw yeah let's bring it on home aw yeah oh ohhhx ohhh bring the beat back oh oh oh oh oh ohhhx aw aww aw aww aw aww let me see you're betty boop when the beat drops,Charlie Puth,Betty Boop
